eYearBegin,eYearEnd,cityCodeOri,nameOri,cityCodeDes,nameDes,transportModeCode,length,notes
1940,,22191,Bucuresti (Bucharest),22214,Timisoara,1,410,air
1940,,22214,Timisoara,22191,Bucuresti (Bucharest),1,410,air
1940,,20985,Paris,22602,Genève,1,410,air
1940,,22602,Genève,20985,Paris,1,410,air
1940,,20985,Paris,22602,Genève,1,410,air
1940,,22602,Genève,20985,Paris,1,410,air
1940,,21588,Roma (Rome),21600,Verona,1,411,air
1940,,21600,Verona,21588,Roma (Rome),1,411,air
1940,,21557,Cagliari,21588,Roma (Rome),1,411,air
1940,,21588,Roma (Rome),21557,Cagliari,1,411,air
1940,,20985,Paris,204312,Duesseldorf,1,411,air
1940,,204312,Duesseldorf,20985,Paris,1,411,air
1940,,23043,Las Vegas,23099,Phoenix-Mesa,1,412,air
1940,,23099,Phoenix-Mesa,23043,Las Vegas,1,412,air
1940,,23043,Las Vegas,23099,Phoenix-Mesa,1,412,air
1940,,23099,Phoenix-Mesa,23043,Las Vegas,1,412,air
1940,,23043,Las Vegas,23099,Phoenix-Mesa,1,412,air
1940,,23099,Phoenix-Mesa,23043,Las Vegas,1,412,air
1940,,23098,Philadelphia,23100,Pittsburgh,1,413,air
1940,,23100,Pittsburgh,23098,Philadelphia,1,413,air
1940,,23098,Philadelphia,23100,Pittsburgh,1,413,air
1940,,23100,Pittsburgh,23098,Philadelphia,1,413,air
1940,,20551,Hohhot,20464,Beijing,1,414,air
1940,,20464,Beijing,20551,Hohhot,1,414,air
1940,,20894,København (Copenhagen),22136,Gdańsk,1,415,air
1940,,22136,Gdańsk,20894,København (Copenhagen),1,415,air
1940,,22007,Lagos,22015,Owerri,1,416,air
1940,,22015,Owerri,22007,Lagos,1,416,air
1940,,21228,Delhi,21318,Lucknow,1,416,air
1940,,21318,Lucknow,21228,Delhi,1,416,air
1940,,21228,Delhi,21318,Lucknow,1,416,air
1940,,21318,Lucknow,21228,Delhi,1,416,air
1940,,22597,Stockholm,22028,Oslo,1,416,air
1940,,22028,Oslo,22597,Stockholm,1,416,air
1940,,22597,Stockholm,22028,Oslo,1,416,air
1940,,22028,Oslo,22597,Stockholm,1,416,air
1940,,22956,Chicago,23152,St. Louis,1,418,air
1940,,23152,St. Louis,22956,Chicago,1,418,air
1940,,23152,St. Louis,22956,Chicago,1,418,air
1940,,22956,Chicago,23152,St. Louis,1,418,air
1940,,23152,St. Louis,22956,Chicago,1,418,air
1940,,22956,Chicago,23152,St. Louis,1,418,air
1940,,23152,St. Louis,22956,Chicago,1,418,air
1940,,22928,Baltimore,22976,Durham,1,419,air
1940,,22976,Durham,22928,Baltimore,1,419,air
1940,,20009,Annaba,20006,El Djazaïr  (Algiers),1,421,air
1940,,20006,El Djazaïr  (Algiers),20009,Annaba,1,421,air
